0001ADB0	Fists
000F4240	Dagger
000F4241	Dagger+1
000F4242	Dagger+2
000F4243	Dagger+3
000F4244	Dagger+4
000F4245	Dagger+5
000F4246	Dagger+6
000F4247	Dagger+7
000F4248	Dagger+8
000F4249	Dagger+9
000F424A	Dagger+10
000F42A4	Heavy Dagger
000F42A5	Heavy Dagger+1
000F42A6	Heavy Dagger+2
000F42A7	Heavy Dagger+3
000F42A8	Heavy Dagger+4
000F42A9	Heavy Dagger+5
000F42AA	Heavy Dagger+6
000F42AB	Heavy Dagger+7
000F42AC	Heavy Dagger+8
000F42AD	Heavy Dagger+9
000F42AE	Heavy Dagger+10
000F4308	Sharp Dagger
000F4309	Sharp Dagger+1
000F430A	Sharp Dagger+2
000F430B	Sharp Dagger+3
000F430C	Sharp Dagger+4
000F430D	Sharp Dagger+5
000F430E	Sharp Dagger+6
000F430F	Sharp Dagger+7
000F4310	Sharp Dagger+8
000F4311	Sharp Dagger+9
000F4312	Sharp Dagger+10
000F436C	Refined Dagger
000F436D	Refined Dagger+1
000F436E	Refined Dagger+2
000F436F	Refined Dagger+3
000F4370	Refined Dagger+4
000F4371	Refined Dagger+5
000F4372	Refined Dagger+6
000F4373	Refined Dagger+7
000F4374	Refined Dagger+8
000F4375	Refined Dagger+9
000F4376	Refined Dagger+10
000F43D0	Simple Dagger
000F43D1	Simple Dagger+1
000F43D2	Simple Dagger+2
000F43D3	Simple Dagger+3
000F43D4	Simple Dagger+4
000F43D5	Simple Dagger+5
000F43D6	Simple Dagger+6
000F43D7	Simple Dagger+7
000F43D8	Simple Dagger+8
000F43D9	Simple Dagger+9
000F43DA	Simple Dagger+10
000F4434	Crystal Dagger
000F4435	Crystal Dagger+1
000F4436	Crystal Dagger+2
000F4437	Crystal Dagger+3
000F4438	Crystal Dagger+4
000F4439	Crystal Dagger+5
000F443A	Crystal Dagger+6
000F443B	Crystal Dagger+7
000F443C	Crystal Dagger+8
000F443D	Crystal Dagger+9
000F443E	Crystal Dagger+10
000F4498	Fire Dagger
000F4499	Fire Dagger+1
000F449A	Fire Dagger+2
000F449B	Fire Dagger+3
000F449C	Fire Dagger+4
000F449D	Fire Dagger+5
000F449E	Fire Dagger+6
000F449F	Fire Dagger+7
000F44A0	Fire Dagger+8
000F44A1	Fire Dagger+9
000F44A2	Fire Dagger+10
000F44FC	Chaos Dagger
000F44FD	Chaos Dagger+1
000F44FE	Chaos Dagger+2
000F44FF	Chaos Dagger+3
000F4500	Chaos Dagger+4
000F4501	Chaos Dagger+5
000F4502	Chaos Dagger+6
000F4503	Chaos Dagger+7
000F4504	Chaos Dagger+8
000F4505	Chaos Dagger+9
000F4506	Chaos Dagger+10
000F4560	Lightning Dagger
000F4561	Lightning Dagger+1
000F4562	Lightning Dagger+2
000F4563	Lightning Dagger+3
000F4564	Lightning Dagger+4
000F4565	Lightning Dagger+5
000F4566	Lightning Dagger+6
000F4567	Lightning Dagger+7
000F4568	Lightning Dagger+8
000F4569	Lightning Dagger+9
000F456A	Lightning Dagger+10
000F45C4	Deep Dagger
000F45C5	Deep Dagger+1
000F45C6	Deep Dagger+2
000F45C7	Deep Dagger+3
000F45C8	Deep Dagger+4
000F45C9	Deep Dagger+5
000F45CA	Deep Dagger+6
000F45CB	Deep Dagger+7
000F45CC	Deep Dagger+8
000F45CD	Deep Dagger+9
000F45CE	Deep Dagger+10
000F4628	Dark Dagger
000F4629	Dark Dagger+1
000F462A	Dark Dagger+2
000F462B	Dark Dagger+3
000F462C	Dark Dagger+4
000F462D	Dark Dagger+5
000F462E	Dark Dagger+6
000F462F	Dark Dagger+7
000F4630	Dark Dagger+8
000F4631	Dark Dagger+9
000F4632	Dark Dagger+10
000F468C	Poison Dagger
000F468D	Poison Dagger+1
000F468E	Poison Dagger+2
000F468F	Poison Dagger+3
000F4690	Poison Dagger+4
000F4691	Poison Dagger+5
000F4692	Poison Dagger+6
000F4693	Poison Dagger+7
000F4694	Poison Dagger+8
000F4695	Poison Dagger+9
000F4696	Poison Dagger+10
000F46F0	Blood Dagger
000F46F1	Blood Dagger+1
000F46F2	Blood Dagger+2
000F46F3	Blood Dagger+3
000F46F4	Blood Dagger+4
000F46F5	Blood Dagger+5
000F46F6	Blood Dagger+6
000F46F7	Blood Dagger+7
000F46F8	Blood Dagger+8
000F46F9	Blood Dagger+9
000F46FA	Blood Dagger+10
000F4754	Raw Dagger
000F4755	Raw Dagger+1
000F4756	Raw Dagger+2
000F4757	Raw Dagger+3
000F4758	Raw Dagger+4
000F4759	Raw Dagger+5
000F475A	Raw Dagger+6
000F475B	Raw Dagger+7
000F475C	Raw Dagger+8
000F475D	Raw Dagger+9
000F475E	Raw Dagger+10
000F47B8	Blessed Dagger
000F47B9	Blessed Dagger+1
000F47BA	Blessed Dagger+2
000F47BB	Blessed Dagger+3
000F47BC	Blessed Dagger+4
000F47BD	Blessed Dagger+5
000F47BE	Blessed Dagger+6
000F47BF	Blessed Dagger+7
000F47C0	Blessed Dagger+8
000F47C1	Blessed Dagger+9
000F47C2	Blessed Dagger+10
000F481C	Hollow Dagger
000F481D	Hollow Dagger+1
000F481E	Hollow Dagger+2
000F481F	Hollow Dagger+3
000F4820	Hollow Dagger+4
000F4821	Hollow Dagger+5
000F4822	Hollow Dagger+6
000F4823	Hollow Dagger+7
000F4824	Hollow Dagger+8
000F4825	Hollow Dagger+9
000F4826	Hollow Dagger+10
000F6950	Bandit's Knife
000F6951	Bandit's Knife+1
000F6952	Bandit's Knife+2
000F6953	Bandit's Knife+3
000F6954	Bandit's Knife+4
000F6955	Bandit's Knife+5
000F6956	Bandit's Knife+6
000F6957	Bandit's Knife+7
000F6958	Bandit's Knife+8
000F6959	Bandit's Knife+9
000F695A	Bandit's Knife+10
000F69B4	Heavy Bandit's Knife
000F69B5	Heavy Bandit's Knife+1
000F69B6	Heavy Bandit's Knife+2
000F69B7	Heavy Bandit's Knife+3
000F69B8	Heavy Bandit's Knife+4
000F69B9	Heavy Bandit's Knife+5
000F69BA	Heavy Bandit's Knife+6
000F69BB	Heavy Bandit's Knife+7
000F69BC	Heavy Bandit's Knife+8
000F69BD	Heavy Bandit's Knife+9
000F69BE	Heavy Bandit's Knife+10
000F6A18	Sharp Bandit's Knife
000F6A19	Sharp Bandit's Knife+1
000F6A1A	Sharp Bandit's Knife+2
000F6A1B	Sharp Bandit's Knife+3
000F6A1C	Sharp Bandit's Knife+4
000F6A1D	Sharp Bandit's Knife+5
000F6A1E	Sharp Bandit's Knife+6
000F6A1F	Sharp Bandit's Knife+7
000F6A20	Sharp Bandit's Knife+8
000F6A21	Sharp Bandit's Knife+9
000F6A22	Sharp Bandit's Knife+10
000F6A7C	Refined Bandit's Knife
000F6A7D	Refined Bandit's Knife+1
000F6A7E	Refined Bandit's Knife+2
000F6A7F	Refined Bandit's Knife+3
000F6A80	Refined Bandit's Knife+4
000F6A81	Refined Bandit's Knife+5
000F6A82	Refined Bandit's Knife+6
000F6A83	Refined Bandit's Knife+7
000F6A84	Refined Bandit's Knife+8
000F6A85	Refined Bandit's Knife+9
000F6A86	Refined Bandit's Knife+10
000F6AE0	Simple Bandit's Knife
000F6AE1	Simple Bandit's Knife+1
000F6AE2	Simple Bandit's Knife+2
000F6AE3	Simple Bandit's Knife+3
000F6AE4	Simple Bandit's Knife+4
000F6AE5	Simple Bandit's Knife+5
000F6AE6	Simple Bandit's Knife+6
000F6AE7	Simple Bandit's Knife+7
000F6AE8	Simple Bandit's Knife+8
000F6AE9	Simple Bandit's Knife+9
000F6AEA	Simple Bandit's Knife+10
000F6B44	Crystal Bandit's Knife
000F6B45	Crystal Bandit's Knife+1
000F6B46	Crystal Bandit's Knife+2
000F6B47	Crystal Bandit's Knife+3
000F6B48	Crystal Bandit's Knife+4
000F6B49	Crystal Bandit's Knife+5
000F6B4A	Crystal Bandit's Knife+6
000F6B4B	Crystal Bandit's Knife+7
000F6B4C	Crystal Bandit's Knife+8
000F6B4D	Crystal Bandit's Knife+9
000F6B4E	Crystal Bandit's Knife+10
000F6BA8	Fire Bandit's Knife
000F6BA9	Fire Bandit's Knife+1
000F6BAA	Fire Bandit's Knife+2
000F6BAB	Fire Bandit's Knife+3
000F6BAC	Fire Bandit's Knife+4
000F6BAD	Fire Bandit's Knife+5
000F6BAE	Fire Bandit's Knife+6
000F6BAF	Fire Bandit's Knife+7
